TransactionID,Department,Quarter,Revenue,Expenses,Profit,ProfitMargin
1,Sales,Q1,5000,3000,2000,40.0
2,Operations,Q2,7000,4000,3000,42.86
3,IT,Q3,8000,4200,3800,47.5
4,HR,Q4,6500,3500,3000,46.15
5,Sales,Q1,9000,4800,4200,46.67
6,Operations,Q1,7500,3900,3600,48.0
7,IT,Q2,8500,4100,4400,51.76
8,HR,Q3,9500,5000,4500,47.37
9,Sales,Q4,7200,3700,3500,48.61
10,Operations,Q1,8800,4600,4200,47.73
11,IT,Q1,6600,3100,3500,53.03
12,HR,Q2,7700,3800,3900,50.65
13,Sales,Q3,8100,4300,3800,46.91
14,Operations,Q4,9300,4900,4400,47.31
15,IT,Q1,6400,3300,3100,48.44
16,HR,Q1,5600,2900,2700,48.21
17,Sales,Q2,6900,3400,3500,50.72
18,Operations,Q3,8700,4500,4200,48.28
19,IT,Q4,7900,3600,4300,54.43
20,HR,Q1,9100,4700,4400,48.35
